Timestep: 0 s
2,5,17.08
2,6,16.1
2,7,15.59
2,8,15.42
3,0,21.79
3,1,21.38
3,2,20.54
3,3,19.31
3,4,17.99
3,5,16.39
3,6,15.01
3,7,14.29
3,8,13.95
4,0,22.58
4,1,22.16
4,2,21.02
4,3,19.28
4,4,17.74
4,5,15.95
4,6,14.12
4,7,12.7
4,8,11.99
5,0,23.88
5,1,23.2
5,2,21.84
5,3,19.78
5,4,17.6
5,5,15.34
5,6,13.08
5,7,10.68
5,8,9.51
6,0,25.31
6,1,24.47
6,2,22.77
6,3,20.36
6,4,17.65
6,5,14.71
6,6,11.6
6,7,8.08
6,8,5.91
7,0,26.89
7,1,25.51
7,2,23.61
7,3,20.92
7,4,17.84
7,5,14.5
7,6,10.21
7,7,4.98
7,8,0.86
8,0,27.37
8,1,25.68
8,2,24.02
8,3,21.35
8,4,18.05
8,5,14.48
8,6,9.58
8,7,3.57
8,8,-1.0

Timestep: 5 s
0,0,20.48
0,1,20.33
0,2,19.93
0,3,19.27
0,4,18.46
0,5,17.64
0,6,16.96
0,7,16.52
0,8,16.28
1,0,20.74
1,1,20.53
1,2,20.05
1,3,19.31
1,4,18.41
1,5,17.54
1,6,16.83
1,7,16.39
1,8,16.2
2,0,21.13
2,1,20.83
2,2,20.23
2,3,19.34
2,4,18.26
2,5,17.08
2,6,16.12
2,7,15.58
2,8,15.37
3,0,21.76
3,1,21.36
3,2,20.51
3,3,19.3
3,4,17.97
3,5,16.44
3,6,15.09
3,7,14.3
3,8,13.94
4,0,22.58
4,1,22.11
4,2,20.99
4,3,19.35
4,4,17.73
4,5,15.93
4,6,14.14
4,7,12.73
4,8,12.01
5,0,23.82
5,1,23.14
5,2,21.77
5,3,19.77
5,4,17.61
5,5,15.34
5,6,13.03
5,7,10.74
5,8,9.53
6,0,25.22
6,1,24.35
6,2,22.68
6,3,20.32
6,4,17.64
6,5,14.73
6,6,11.58
6,7,8.18
6,8,6.03
7,0,26.62
7,1,25.35
7,2,23.47
7,3,20.86
7,4,17.81
7,5,14.42
7,6,10.2
7,7,5.3
7,8,1.64
8,0,27.13
8,1,25.64
8,2,23.86
8,3,21.23
8,4,17.99
8,5,14.34
8,6,9.54
8,7,3.9
8,8,-0.28
0,0,20.49
0,1,20.32
0,2,19.91
0,3,19.25
0,4,18.45
0,5,17.64
0,6,16.97
0,7,16.53
0,8,16.29
1,0,20.73
1,1,20.51
1,2,20.02
1,3,19.29
1,4,18.4
1,5,17.52
1,6,16.8
1,7,16.35
1,8,16.14
2,0,21.12
2,1,20.82
2,2,20.21
2,3,19.31
2,4,18.23
2,5,17.08
2,6,16.13
2,7,15.56
2,8,15.33
3,0,21.74
3,1,21.33
3,2,20.49
3,3,19.3
3,4,17.95
3,5,16.47
3,6,15.16
3,7,14.32
3,8,13.92
4,0,22.57
4,1,22.07
4,2,20.97
4,3,19.38
4,4,17.72
4,5,15.93
4,6,14.17
4,7,12.76
4,8,12.03
5,0,23.76
5,1,23.08
5,2,21.72
5,3,19.77
5,4,17.61
5,5,15.33
5,6,13.0
5,7,10.8
5,8,9.56
6,0,25.11
6,1,24.23
6,2,22.58
6,3,20.28
6,4,17.63
6,5,14.73
6,6,11.57
6,7,8.29
6,8,6.19
7,0,26.38
7,1,25.2
7,2,23.34
7,3,20.78
7,4,17.77
7,5,14.36
7,6,10.22
7,7,5.61
7,8,2.3
8,0,26.9
8,1,25.55
8,2,23.72
8,3,21.12
8,4,17.92
8,5,14.23
8,6,9.53
8,7,4.23
8,8,0.41
0,0,20.5
0,1,20.32
0,2,19.9
0,3,19.24
0,4,18.44
0,5,17.64
0,6,16.98
0,7,16.53
0,8,16.3
1,0,20.72
1,1,20.49
1,2,20.0
1,3,19.27
1,4,18.39
1,5,17.51
1,6,16.77
1,7,16.31
1,8,16.09
2,0,21.11
2,1,20.81
2,2,20.19
2,3,19.29
2,4,18.21
2,5,17.09
2,6,16.14
2,7,15.55
2,8,15.29
3,0,21.72
3,1,21.31
3,2,20.47
3,3,19.29
3,4,17.94
3,5,16.49
3,6,15.2
3,7,14.33
3,8,13.91
4,0,22.55
4,1,22.03
4,2,20.94
4,3,19.4
4,4,17.72
4,5,15.93
4,6,14.19
4,7,12.79
4,8,12.05
5,0,23.7
5,1,23.02
5,2,21.66
5,3,19.76
5,4,17.61
5,5,15.33
5,6,12.99
5,7,10.85
5,8,9.61
6,0,25.0
6,1,24.12
6,2,22.5
6,3,20.24
6,4,17.61
6,5,14.72
6,6,11.57
6,7,8.41
6,8,6.39
7,0,26.17
7,1,25.05
7,2,23.22
7,3,20.71
7,4,17.72
7,5,14.31
7,6,10.25
7,7,5.91
7,8,2.88
8,0,26.69
8,1,25.45
8,2,23.59
8,3,21.02
8,4,17.84
8,5,14.14
8,6,9.56
8,7,4.56
8,8,1.05
0,0,20.5
0,1,20.31
0,2,19.88
0,3,19.23
0,4,18.44
0,5,17.64
0,6,16.98
0,7,16.53
0,8,16.3
1,0,20.72
1,1,20.48
1,2,19.99
1,3,19.25
1,4,18.37
1,5,17.49
1,6,16.76
1,7,16.28
1,8,16.05
2,0,21.1
2,1,20.79
2,2,20.17
2,3,19.27
2,4,18.2
2,5,17.09
2,6,16.14
2,7,15.53
2,8,15.26
3,0,21.7
3,1,21.28
3,2,20.46
3,3,19.28
3,4,17.94
3,5,16.51
3,6,15.24
3,7,14.35
3,8,13.91
4,0,22.52
4,1,22.0
4,2,20.92
4,3,19.41
4,4,17.72
4,5,15.93
4,6,14.21
4,7,12.82
4,8,12.07
5,0,23.63
5,1,22.95
5,2,21.61
5,3,19.74
5,4,17.61
5,5,15.32
5,6,12.99
5,7,10.9
5,8,9.67
6,0,24.88
6,1,24.02
6,2,22.41
6,3,20.19
6,4,17.59
6,5,14.71
6,6,11.59
6,7,8.54
6,8,6.59
7,0,25.97
7,1,24.91
7,2,23.1
7,3,20.63
7,4,17.67
7,5,14.27
7,6,10.3
7,7,6.19
7,8,3.4
8,0,26.49
8,1,25.32
8,2,23.47
8,3,20.91
8,4,17.77
8,5,14.06
8,6,9.6
8,7,4.89
8,8,1.65
0,0,20.51
0,1,20.3
0,2,19.87
0,3,19.21
0,4,18.43
0,5,17.64
0,6,16.98
0,7,16.52
0,8,16.3
1,0,20.71
1,1,20.47
1,2,19.97
1,3,19.23
1,4,18.36
1,5,17.48
1,6,16.74
1,7,16.25
1,8,16.02
2,0,21.09
2,1,20.78
2,2,20.15
2,3,19.25
2,4,18.18
2,5,17.09
2,6,16.15
2,7,15.52
2,8,15.23
3,0,21.67
3,1,21.26
3,2,20.44
3,3,19.28
3,4,17.93
3,5,16.53
3,6,15.26
3,7,14.36
3,8,13.9
4,0,22.49
4,1,21.96
4,2,20.9
4,3,19.41
4,4,17.72
4,5,15.94
4,6,14.22
4,7,12.85
4,8,12.09
5,0,23.57
5,1,22.89
5,2,21.56
5,3,19.72
5,4,17.6
5,5,15.32
5,6,13.0
5,7,10.95
5,8,9.74
6,0,24.76
6,1,23.91
6,2,22.33
6,3,20.15
6,4,17.57
6,5,14.7
6,6,11.61
6,7,8.67
6,8,6.81
7,0,25.79
7,1,24.77
7,2,22.99
7,3,20.56
7,4,17.62
7,5,14.23
7,6,10.35
7,7,6.46
7,8,3.87
8,0,26.3
8,1,25.19
8,2,23.35
8,3,20.81
8,4,17.69
8,5,14.01
8,6,9.66
8,7,5.2
8,8,2.21

Timestep: 10 s
0,0,20.5
0,1,20.29
0,2,19.85
0,3,19.2
0,4,18.42
0,5,17.64
0,6,16.97
0,7,16.52
0,8,16.29
1,0,20.7
1,1,20.45
1,2,19.95
1,3,19.22
1,4,18.35
1,5,17.47
1,6,16.73
1,7,16.23
1,8,15.99
2,0,21.08
2,1,20.76
2,2,20.13
2,3,19.23
2,4,18.17
2,5,17.09
2,6,16.15
2,7,15.51
2,8,15.2
3,0,21.65
3,1,21.24
3,2,20.42
3,3,19.27
3,4,17.93
3,5,16.54
3,6,15.28
3,7,14.37
3,8,13.9
4,0,22.46
4,1,21.93
4,2,20.87
4,3,19.4
4,4,17.72
4,5,15.94
4,6,14.24
4,7,12.88
4,8,12.12
5,0,23.5
5,1,22.83
5,2,21.52
5,3,19.7
5,4,17.59
5,5,15.31
5,6,13.02
5,7,11.0
5,8,9.81
6,0,24.65
6,1,23.81
6,2,22.25
6,3,20.1
6,4,17.54
6,5,14.69
6,6,11.65
6,7,8.8
6,8,7.02
7,0,25.62
7,1,24.63
7,2,22.88
7,3,20.48
7,4,17.57
7,5,14.21
7,6,10.42
7,7,6.71
7,8,4.3
8,0,26.12
8,1,25.06
8,2,23.23
8,3,20.72
8,4,17.62
8,5,13.96
8,6,9.73
8,7,5.51
8,8,2.73
0,0,20.5
0,1,20.29
0,2,19.84
0,3,19.19
0,4,18.41
0,5,17.63
0,6,16.97
0,7,16.51
0,8,16.28
1,0,20.69
1,1,20.44
1,2,19.93
1,3,19.2
1,4,18.33
